Label,Packet Count,Total Length,Average Packet Interval,Maximum Packet Interval,Minimum Packet Interval,Average Packet Length,Maximum Packet Length,Minimum Packet Length,Most Common Packet Length
Glassdoor,1974,2088574,0.014633752786220871,11.411785000000002,1.100000000064938e-05,1058.0415400202635,1514,54,1242
Glassdoor,3306,3445557,0.008933813369630974,13.381195,3.000000000419334e-06,1042.2132486388384,1514,54,1242
Glassdoor,11753,12656262,0.002683199523525908,3.417071,2.0000000000575113e-06,1076.8537394707735,1292,55,1242
Glassdoor,2755,2896793,0.009738193466424683,3.9612999999999996,4.999999999810711e-06,1051.4675136116152,1292,55,1242
Glassdoor,359,302368,0.10649359331476324,9.352738,2.5999999998305157e-05,842.2506963788301,1292,55,1242
Glassdoor,818,702095,0.05156586674816625,12.466550999999995,1.6000000000016e-05,858.3068459657702,1292,54,1242
Glassdoor,451,299928,0.0833570110864745,14.685958000000001,2.3999999999801958e-05,665.0288248337029,1292,54,1292
Glassdoor,1345,1134747,0.021916991078066914,2.7169680000000014,7.000000000090267e-06,843.6780669144981,1292,65,1242
Glassdoor,5609,5827682,0.005254829559636299,3.2051029999999976,5.999999999062311e-06,1038.9876983419504,1292,65,1242
Glassdoor,2464,2556838,0.013668006087662339,18.615947,5.000000000032756e-06,1037.6777597402597,1292,65,1242
Glassdoor,431,326449,0.06650309744779583,12.20651,2.4999999999053557e-05,757.4222737819025,1292,65,1292
Glassdoor,442,303110,0.07293645701357467,17.861993,2.4000000000690136e-05,685.7692307692307,1292,65,1242
Glassdoor,913,702620,0.042887346111719606,3.204734999999996,2.2999999998774e-05,769.5728368017525,1292,65,1242
Glassdoor,661,544623,0.058811019667170956,12.248887999999997,2.3999999999801958e-05,823.9379727685325,1292,65,1242
Glassdoor,270,200578,0.14381322592592594,21.553476999999997,2.3999999999801958e-05,742.8814814814815,1292,65,1292
